PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,10/16/2021,00:35.1,1,1,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.71827,-0.722565,-2.22676,2134.986484,242.088409,2:00,5.41432,1.81064,6.08777,-23.88352,7.99741,13.42162,2.75509,0.86821,85.748,-5.166087,0.190605,0.406384,,,,,,,,,,,,-7.47087,4.58681,-1.64582,50,5.34581,4.67609,-134.83701,-2.51699,-13.91965,26.00998,-23.6279,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,b9f22920-2ebb-11ec-8902-b5e97332f6b2,92.75077,,,6.97027,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,00:35.1,2021-10-16T13:00:35.1248040-07:00,2021-10-16T20:00:35.1248040Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,3d6b1f0e-d8e8-48ec-b2cb-eecb1ad87363,54.41196,-135.6854,13.00499,5.41534,-1.7463,-11.81395,-1.80575,5.13012,-6.95983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,10/16/2021,00:50.9,1,2,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.19923,-1.551663,-2.362284,2213.971517,266.608766,3:00,5.28873,1.73046,6.25093,-29.43632,1.89906,17.63379,1.4032,1.02021,86.54735,-6.989538,0.827025,0.402892,,,,,,,,,,,,-9.72571,1.64232,-1.56322,50,5.15893,4.86201,-135.56754,-4.70546,-18.33271,26.06345,-29.07834,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,c354f650-2ebb-11ec-8902-b5e97332f6b2,93.55468,,,6.65187,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,00:50.9,2021-10-16T13:00:50.8988584-07:00,2021-10-16T20:00:50.8988584Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,344c60e8-4db1-4722-a304-7b7e02cf43b2,54.25019,-136.38221,13.03172,5.2918,-3.79656,-14.53917,-1.72414,5.43504,-9.16635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,10/16/2021,01:09.3,1,3,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.53301,0.755499,-2.237045,2260.743711,264.919965,2:45,5.36813,1.92228,5.92967,-29.2573,2.17685,15.00741,3.63156,1.09629,86.632,-4.638081,0.457529,0.403527,,,,,,,,,,,,-8.22146,1.21173,-1.75196,50,5.41184,4.65996,-136.04667,0.71238,-15.63649,25.71088,-29.86941,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,ce58f060-2ebb-11ec-8902-b5e97332f6b2,93.40758,,,6.90101,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,01:09.4,2021-10-16T13:01:09.3502632-07:00,2021-10-16T20:01:09.3502632Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,c8636f04-50aa-4856-8163-7f2efcf7f472,54.57101,-136.9078,12.85544,5.37123,1.71279,-14.93471,-1.9168,5.18367,-7.81824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,10/16/2021,01:27.5,1,4,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.52831,0.553935,-1.280714,2172.900227,266.734233,3:00,5.40014,1.81449,6.05556,-28.97049,1.82634,16.57509,3.49881,2.01011,87.08601,-4.808354,1.704595,0.399415,,,,,,,,,,,,-8.8167,1.10386,-1.72342,50,5.4278,2.3398,-137.4991,0.2618,-17.00883,28.29076,-30.04454,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,d92a41b0-2ebb-11ec-8902-b5e97332f6b2,94.36914,,,7.4423,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,01:27.5,2021-10-16T13:01:27.5008168-07:00,2021-10-16T20:01:27.5008168Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,ae4e7190-56a4-4caf-9f57-7be8aba35441,54.44396,-138.41044,14.14538,5.40378,1.22963,-15.02227,-1.80761,2.88771,-8.50442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,10/16/2021,01:46.5,1,5,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.90603,-0.674605,-2.685369,2138.3783,269.462195,3:00,5.34229,1.78896,6.12857,-30.08053,1.06039,17.87997,2.21131,0.79496,86.6926,-6.233172,0.538624,0.40164,,,,,,,,,,,,-10.01453,0.95547,-1.59318,50,5.27481,5.66184,-136.54164,-2.68479,-19.05436,27.85627,-30.35612,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,e47d1f10-2ebb-11ec-8902-b5e97332f6b2,93.84625,,,7.21342,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,01:46.5,2021-10-16T13:01:46.5463976-07:00,2021-10-16T20:01:46.5463976Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,8aca368a-89da-46ce-8a6f-8a07bbeea9f3,54.37316,-137.43093,13.92813,5.34505,-1.7157,-15.17806,-1.78364,6.27014,-9.52718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,10/16/2021,02:18.8,1,6,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,3,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,84.44128,2.394116,-1.509541,2279.140146,78.292447,8:30,5.34764,1.83249,5.55716,-39.08026,0.83772,-2.22327,4.32988,0.23652,76.75472,-4.794739,-1.905665,0.454732,,,,,,,,,,,,0.67366,0.15976,-1.70062,50,5.52913,3.32128,-122.42148,3.72254,1.0175,25.24424,-31.93272,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,f7b3cac0-2ebb-11ec-8902-b5e97332f6b2,82.88931,,,7.68656,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,02:18.8,2021-10-16T13:02:18.7628712-07:00,2021-10-16T20:02:18.7628712Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,aa86abfa-3694-46b5-b21d-9fc6ab452aae,54.93909,-123.43576,12.62212,5.35379,5.00555,-15.96636,-1.83324,3.2804,0.50875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,10/16/2021,02:33.9,1,7,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,93.4504,-0.826335,-2.139225,2244.795169,254.393615,2:30,5.34541,1.70991,6.27081,-26.39887,4.73823,13.9028,2.38316,0.89551,86.57369,-5.730548,0.374631,0.401616,107.2367,15.05763,-1.706107,2107.057495,109.67616,28.26933,-8.43171,357.50658,,-8.675471,3.600972,-7.82237,2.90795,-1.55861,50,5.27118,4.5211,-135.98166,-2.85829,-14.82259,26.46308,-26.66374,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,00b64f80-2ebc-11ec-8902-b5e97332f6b2,93.85203,38.55955,,6.87671,,,,1.75503,2.42265,-0.90493,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,02:33.8,2021-10-16T13:02:33.8511528-07:00,2021-10-16T20:02:33.8511528Z,LineDrive,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,34a9cb67-8fe7-4a7d-9d2b-cc9584106d1c,54.2306,-136.80249,13.23154,5.34701,-2.03123,-13.33187,-1.70598,4.98086,-7.41129,147.012338,1.75511,151.8081,-28.07544,6.26591,-1.11307,0.12071,0.0012,-0.0024,0.00024,2.42268,40.86271,-10.57693,-0.93912,0.1824,0.07334,-0.04382,0.00919,-0.00072,-0.9051,-4.5195,-7.67461,2.77163,-0.65027,0.0863,-0.0015,-0.00127,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,10/16/2021,03:17.8,2,1,"Saul, Eli",1000047540,Right,SAC_STA,"Lomavita, Caleb",,Right,GOL_PRA,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.9627,-1.115227,-2.919982,2202.732808,252.560308,2:30,5.34173,1.71928,6.48571,-27.33285,3.95685,9.81713,2.03864,-0.14579,86.06095,-6.205876,-1.139237,0.402598,106.21674,-11.560781,-6.55529,,,,,12.28615,,-5.635946,0.067972,-5.92225,2.59473,-1.51853,50,5.25114,6.51652,-135.19483,-3.52493,-11.07577,26.5815,-27.32138,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,1aea3a10-2ebc-11ec-8902-b5e97332f6b2,93.62292,2.1154,,6.90175,,,,1.92046,2.1221,-0.02226,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,03:17.8,2021-10-16T13:03:17.7981096-07:00,2021-10-16T20:03:17.7981096Z,GroundBall,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,4ec27ecf-b178-4aaa-8078-31cd5a1859b1,54.01535,-135.98202,13.29075,5.34355,-2.71583,-13.66069,-1.71637,6.84452,-5.53789,,1.92046,151.62601,,,,,,,,2.1221,-31.22032,,,,,,,,-0.02226,-17.42384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,10/16/2021,03:52.3,3,1,"Saul, Eli",1000047540,Right,SAC_STA,"Beavers, Dylan",1000050019,Left,GOL_PRA,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.12825,-2.055037,-2.422682,2131.427191,263.333074,2:45,5.36438,1.78699,6.03302,-29.3088,2.31276,12.52749,1.01649,0.5862,86.66577,-7.439303,-0.166405,0.404728,,,,,,,,,,,,-7.03859,1.94764,-1.60449,50,5.18774,5.19834,-135.38392,-5.92186,-13.25772,25.43867,-28.50555,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,2f7ad070-2ebc-11ec-8902-b5e97332f6b2,93.13038,,,6.46248,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,03:52.3,2021-10-16T13:03:52.3147432-07:00,2021-10-16T20:03:52.3147432Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,d2e886de-3adb-4ae8-842f-ca63b352d7ed,54.4677,-136.22081,12.71933,5.36714,-4.98407,-14.25277,-1.78268,5.6345,-6.62886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,10/16/2021,04:12.9,3,2,"Saul, Eli",1000047540,Right,SAC_STA,"Beavers, Dylan",1000050019,Left,GOL_PRA,Undefined,1,Top,1,1,0,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.2666,-1.757577,-1.769232,2053.675838,226.009034,1:30,5.34377,1.79605,5.65795,-22.54643,13.50812,12.84532,1.82458,1.21607,81.08814,-5.954026,0.526646,0.432167,,,,,,,,,,,,-6.9578,7.66272,-1.65441,50,5.18073,3.40018,-128.13792,-4.68376,-11.62013,25.36467,-19.3766,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,3bcb95d0-2ebc-11ec-8902-b5e97332f6b2,87.21737,,,7.17846,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,04:12.9,2021-10-16T13:04:12.9201832-07:00,2021-10-16T20:04:12.9201832Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,e6146bed-da23-45b8-9b32-eea82453bfed,54.83932,-129.0923,12.68234,5.34324,-3.95469,-9.6883,-1.79057,3.8374,-5.81007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
